ID,LIMIT_BAL,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX_MALE,SEX_FEMALE,default_payment_next_month
1518,190000,3,1,49,2,2,2,2,2,2,178367,179062,177663,180312,185910,191895,5000,3000,7100,8700,9300,9500,1,0,1
1540,110000,3,2,28,0,0,2,2,0,0,85918,87442,82975,80446,80006,80421,4000,6000,12,3100,3200,3000,0,1,0
1562,150000,1,2,34,-2,-1,2,0,0,-2,0,13206,10227,398,0,0,13206,0,0,0,0,0,0,1,0
1564,30000,3,1,56,0,0,2,2,0,0,16088,24800,25098,24396,24907,25555,9000,1000,0,903,1061,942,0,1,0
1601,120000,2,2,27,-1,-1,-1,-1,-1,-1,2474,2469,2439,2439,2439,2116,2469,2439,2439,2439,2116,0,1,0,0
1621,30000,1,2,26,-1,-1,-1,-1,-1,2,2635,807,11428,2462,3605,1559,1270,11500,2462,1559,0,3192,0,1,0
1623,40000,1,2,26,0,0,0,0,0,0,12308,13604,14873,15624,15972,16308,1500,1500,1000,600,600,1700,0,1,0
1659,190000,2,2,31,-1,-1,-1,-1,-2,-1,771,0,4251,0,0,6732,0,4251,0,0,6732,11306,0,1,0
1674,220000,1,2,36,-2,-2,-2,-2,-2,-2,0,420,0,584,790,0,420,0,584,790,0,1309,0,1,0
1679,390000,2,1,40,1,2,0,0,0,0,424244,395060,258372,261498,213003,102423,587,9500,30140,4235,1998,25226,1,0,0
1717,140000,1,2,29,0,0,0,0,0,0,142087,255846,140057,100177,100873,98363,5528,4500,3500,4000,4000,4000,1,0,0
1723,90000,2,1,44,2,0,0,0,0,0,89875,92338,87511,47796,48306,49054,4000,4200,1700,1800,2083,1827,1,0,1
1728,60000,2,1,42,2,2,0,0,0,0,57598,50821,19638,18919,16853,29682,0,2000,2000,1000,20000,10000,0,1,1
1774,50000,2,2,25,2,2,0,0,0,2,7180,6922,7849,8018,8884,8593,0,1200,300,1000,0,1000,1,0,1
1778,40000,3,1,43,0,0,0,0,0,0,41094,36554,37568,38314,39141,40231,1611,1625,1371,1444,1765,1283,1,0,1
1790,110000,2,2,26,0,0,0,0,0,0,106417,103587,56676,47332,45171,47092,9026,6000,2000,2000,3000,4006,1,0,0
1796,200000,1,2,34,1,-2,-2,-2,-2,-2,-800,-2685,-6144,-7905,-10213,-11060,0,0,0,0,0,0,1,0,0
1805,450000,1,2,31,-1,-1,-1,-1,-1,-1,10350,3629,3271,6271,2135,2546,3629,3271,6271,2135,2546,4877,1,0,1
1811,20000,2,2,36,-1,-1,-1,0,0,0,3152,0,4956,10148,6979,8353,0,4956,200,2000,1500,500,1,0,0
1838,290000,2,1,40,0,0,0,0,0,0,274558,256910,229566,148812,53157,47998,10700,11014,5800,1820,2000,2000,0,1,1
1862,10000,2,2,35,1,6,5,4,3,2,8257,8001,7741,7481,7075,6815,0,0,0,0,0,700,1,0,1
1865,420000,2,2,35,-1,-1,-1,-1,-1,-1,7572,18847,16615,14156,9058,3281,18920,16615,14156,9058,3281,5971,0,1,0
1871,100000,2,1,31,0,0,-1,-1,0,-1,92265,93873,1473,2946,1473,540,5000,1473,2946,0,540,780,0,1,0
1873,130000,3,2,32,0,0,0,0,0,2,119312,116259,103438,49319,91191,82168,20021,40354,20000,43608,103,10000,0,1,0
1895,100000,2,2,30,1,3,7,6,7,8,72652,90461,89011,96593,105083,103522,20000,0,10000,10000,0,0,1,0,1
1910,80000,1,2,29,0,0,0,0,0,0,26524,23224,23141,22160,21478,20441,1500,1700,1000,1000,1000,1500,0,1,0
1944,220000,2,2,30,0,0,0,0,0,0,217800,189016,137788,106713,96588,22743,7261,5170,4054,4500,1225,110000,1,0,0
1997,60000,1,2,24,0,0,0,0,0,0,15050,16203,16891,15474,14612,16354,2000,1300,2000,1000,2000,1000,0,1,0
2029,70000,2,2,31,0,0,0,0,2,0,46079,47232,48618,51134,50222,48874,2200,2500,3600,0,1754,1892,1,0,1
2035,50000,1,2,25,-1,-1,-1,-1,-1,-1,574,801,686,527,312,442,801,686,527,312,442,8016,0,1,0
2053,140000,2,2,42,-1,-1,-1,0,-1,-1,176,395,1204,700,748,-784,395,1204,0,748,0,2688,0,1,0
2081,70000,1,2,24,0,0,0,0,0,0,69572,71233,66844,50410,44958,46655,2828,2337,1702,1800,2600,2000,0,1,0
2103,10000,3,1,53,1,4,3,2,2,2,4479,4272,4064,3856,4390,4171,0,0,0,900,0,900,0,1,1
2130,340000,1,2,26,-1,0,0,0,0,-1,58363,106270,159464,155685,137838,6556,56270,59503,3330,40,6556,16390,0,1,0
2135,160000,2,1,66,2,2,2,2,2,2,67771,69535,70848,71739,73090,74490,3400,3000,2600,2600,2700,2800,1,0,1
2152,150000,1,2,24,-1,-1,-1,-1,-1,-1,1050,3258,3664,1461,2348,3626,3258,3735,1461,2348,3626,3089,1,0,0
2173,50000,2,1,53,0,0,0,0,0,0,47824,48954,46716,18685,19076,19466,1948,1835,669,692,707,695,1,0,0
2184,150000,1,1,55,-1,-1,-1,-2,-2,-2,2070,7620,0,0,0,0,7620,0,0,0,0,0,0,1,0
2197,10000,3,2,22,0,0,0,0,0,0,9363,5062,6021,6763,7648,8367,1200,1200,1000,1000,1000,0,1,0,0
2203,360000,3,1,53,0,0,0,0,0,0,8669,8254,8988,6868,5604,6158,1303,1513,706,700,600,2000,1,0,0
2221,50000,2,1,32,-1,-1,-1,-2,-2,-2,819,699,0,0,0,0,699,0,0,0,0,0,0,1,1
2262,100000,3,2,30,0,0,0,0,0,0,46675,46567,46638,46454,46262,47823,1800,2000,1700,1683,3500,1500,1,0,1
2267,360000,2,1,39,0,0,0,0,0,0,23690,67560,26649,15830,20025,21404,60284,16079,5024,9032,8035,12073,1,0,0
2268,230000,2,1,33,0,0,2,-1,0,0,9530,12872,3724,153400,14788,21258,7000,0,153400,8000,10000,6000,0,1,0
2298,500000,1,1,37,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2324,90000,2,2,30,0,0,0,-2,-2,-2,46927,40000,0,0,0,0,4000,0,0,0,0,85000,1,0,0
2334,210000,1,1,38,-1,-1,2,2,-1,-1,2360,4707,4465,0,9306,5855,4465,0,0,9306,5855,9840,0,1,0
2376,40000,2,1,38,2,2,2,2,2,2,33152,33623,34773,33917,36704,40404,1300,2000,0,3500,4471,0,1,0,1
2381,110000,2,2,28,0,0,0,0,0,0,81449,83241,84960,86045,88060,93394,4000,4000,3400,3400,7000,3450,0,1,0
2395,130000,2,2,24,1,-2,-1,-1,-1,-1,-10,-10,3362,-3,998,937,0,3372,0,1001,939,1013,0,1,0
2404,320000,1,2,32,-1,2,-1,-1,-2,-2,752,169,1940,0,0,0,0,1948,0,0,0,0,1,0,1
2405,20000,2,2,38,-1,-1,-1,0,0,-1,10462,3327,19305,17748,8269,1074,10287,19305,355,0,1074,0,1,0,0
2423,80000,3,1,39,0,0,0,-2,-1,-1,4948,3804,0,0,1715,0,1000,0,0,1715,0,0,0,1,0
2457,500000,1,1,51,0,0,0,0,0,0,396402,395484,333041,294173,300616,266973,14034,15040,12018,15028,10038,10018,1,0,0
2466,100000,3,1,29,4,3,2,0,0,-1,175441,153992,132132,114431,116766,95961,0,0,0,2335,102075,0,0,1,1
2485,80000,2,2,27,1,2,2,0,0,0,81635,83465,81472,82332,84067,78510,3716,0,2989,3105,2973,2830,0,1,0
2509,60000,1,2,25,0,0,0,0,0,0,13123,14403,16150,17870,19571,21235,1500,2000,2000,2000,2000,1000,1,0,0
2561,310000,1,2,32,-2,-2,-2,-2,-2,-2,20138,8267,65993,8543,1695,750,8267,66008,8543,1695,750,7350,0,1,1
2581,360000,2,2,31,0,0,-2,-2,-2,-2,17582,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2601,130000,3,2,36,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2603,10000,3,2,25,2,0,0,0,0,-2,4693,5371,6327,6055,0,0,1300,1600,400,0,0,0,1,0,1
2621,50000,2,2,44,0,0,0,0,-1,-1,49006,49139,47608,3990,390,0,2000,1000,3600,390,0,4870,0,1,0
2635,200000,1,1,42,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,665,0,1,1
2637,130000,2,2,31,1,2,2,2,0,0,70722,69040,70912,63626,59200,38263,0,4130,43,2000,1368,1418,1,0,0
2670,10000,5,1,43,-1,0,0,0,-2,-2,17560,9829,3604,0,0,0,2537,1000,0,0,0,0,1,0,1
2686,100000,3,1,44,0,0,0,0,0,0,39649,43608,46899,47447,48035,40484,5000,5000,1554,1595,1686,1200,1,0,0
2730,250000,2,2,40,-2,-2,-2,-2,-2,-2,0,1069,-320,-320,1680,4058,1069,320,0,2000,4058,3000,0,1,0
2737,50000,2,1,28,0,0,0,0,0,0,50998,51103,50262,20304,20319,20330,2209,1726,710,724,733,712,0,1,0
2755,20000,1,2,22,0,0,0,0,0,0,3281,4325,5341,5751,6500,7386,1100,1100,500,1000,1000,1000,1,0,0
2765,150000,1,2,27,0,0,0,0,0,0,82494,83044,84752,84743,78987,65590,3100,3500,3000,5000,3000,2500,1,0,0
2766,310000,2,1,35,0,0,0,0,0,0,7589,9463,12296,15083,17840,20376,2000,3000,3000,3000,3000,3003,1,0,0
2812,50000,2,2,24,0,0,0,0,0,0,39083,40150,41181,41996,43021,45700,1700,1700,1501,1700,3400,0,0,1,1
2822,30000,3,1,60,-1,3,2,0,0,3,5867,5621,4090,2829,2108,1801,0,0,0,1801,0,0,0,1,1
2847,350000,1,2,31,0,0,0,0,0,2,181550,177978,164481,198545,232543,165288,10000,20000,100048,60000,0,5000,0,1,0
2868,50000,3,2,41,0,0,0,0,0,0,45487,45548,46076,19092,18227,18285,1858,1685,659,658,656,651,1,0,0
2873,350000,1,2,37,-2,-2,-2,-2,-2,-2,316,316,316,466,466,316,316,316,466,466,316,316,1,0,0
2886,230000,3,1,37,0,0,0,0,0,0,228342,189966,142377,143828,143698,143342,6100,7000,5356,5400,5200,5500,0,1,0
2891,150000,2,1,36,0,0,0,0,0,0,296846,301634,314201,84135,90500,0,7143,13700,15000,7500,0,0,0,1,0
2930,80000,2,2,28,0,-1,-1,0,0,0,18112,8857,69841,59075,58998,61038,10084,79200,2108,2200,3006,2523,0,1,0
2959,20000,2,1,36,1,-2,-2,-2,-2,-2,-25,-25,-25,-25,-25,-25,0,0,0,0,0,0,0,1,0
2979,120000,1,2,31,-1,-1,-1,-1,-1,-1,325,325,325,325,325,1866,325,325,325,325,1866,325,0,1,0
2983,170000,1,2,30,-2,-2,-2,-2,-2,-2,3733,1958,5956,1836,3959,1285,1958,5956,1842,3959,1285,0,0,1,0
2984,360000,1,2,37,-1,-1,-1,-1,-1,-1,3355,5865,3300,6290,8220,28410,5865,3300,6290,8220,28410,4845,0,1,0
3010,30000,3,2,25,2,2,2,0,0,2,22440,24168,23481,23950,25659,25098,2390,0,859,2097,0,1092,1,0,1
3032,20000,2,2,22,0,0,2,0,0,0,8134,9992,10526,11049,11865,12665,2000,1000,1000,1000,1000,8100,1,0,0
3038,300000,1,2,36,0,0,0,0,0,0,295433,301521,308038,306154,295664,290329,13000,13116,11000,11000,12000,9300,1,0,0
3051,160000,2,2,26,0,0,0,0,-1,0,25060,24306,17671,22121,40835,37471,8026,7804,7730,67296,1340,1280,1,0,0
3066,70000,1,2,25,-1,2,2,2,2,0,3635,4529,4308,4859,4638,4911,1100,0,624,0,500,1000,1,0,1
3067,20000,3,2,36,1,-1,-1,-1,-1,-1,0,832,0,832,1486,0,832,0,832,1486,0,1248,1,0,0
3096,360000,1,1,39,-1,-1,-1,-1,-1,-1,165,853,165,300,0,1790,853,165,300,0,1790,0,0,1,0
3119,60000,2,1,43,0,0,0,0,0,0,57033,58994,59732,36914,37684,38613,2880,2473,1322,1366,1554,1369,0,1,0
3132,150000,1,2,24,-1,-1,-1,0,0,-1,4857,1729,49200,50000,0,50000,1733,49200,1000,0,50000,0,0,1,0
3134,210000,2,1,37,0,0,-2,-2,-2,-2,22908,32513,6192,2885,8419,2810,32513,9,8,8444,3118,0,0,1,1
3156,300000,1,1,38,-1,-1,-1,-2,-2,-2,1008,228,0,0,0,0,228,0,0,888,0,0,0,1,0
3166,150000,1,2,28,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3211,230000,3,2,30,1,2,2,3,2,2,213894,218966,238075,233210,233833,190628,10040,28341,0,6508,187,5000,1,0,0
3218,320000,3,2,52,0,0,0,0,0,0,31858,33562,35119,36886,38756,40543,5000,5000,5000,5000,5000,5000,1,0,0
3245,50000,2,1,26,0,0,0,0,0,0,44335,44626,40928,29367,29156,27337,2126,2104,990,1200,1654,897,0,1,0
3256,10000,3,2,22,0,0,0,0,0,0,5757,6706,7715,7873,8742,9551,1200,1128,286,1000,955,0,1,0,0
3302,20000,2,2,24,0,0,0,0,0,0,20073,19940,19441,18680,19071,19217,1319,1291,656,679,784,376,0,1,0
3335,280000,1,1,50,-1,-1,-1,0,0,-2,19378,347,4197,3755,0,0,348,4399,18,0,0,0,1,0,0
3337,80000,1,2,31,1,2,2,2,2,2,21004,20384,22231,21576,23229,22708,0,2500,0,2000,0,1000,1,0,1
3343,50000,2,2,28,0,0,0,0,0,0,46096,25370,26331,24749,25269,26847,1442,1403,1000,919,2000,1000,0,1,0
3373,340000,2,2,32,0,0,0,0,0,0,80174,82761,83636,85282,87070,88828,3871,3136,3014,3123,3168,4855,0,1,0
3384,110000,2,1,36,1,2,0,0,2,2,10448,10144,14516,19396,9298,14116,0,5000,5000,0,5000,0,0,1,1
3397,210000,1,2,43,1,-1,0,0,0,0,-3309,177952,167125,139784,142662,145725,184212,5482,3493,3590,3815,3876,0,1,0
3434,20000,1,2,22,0,0,0,0,0,0,14677,16625,17924,18674,15452,15882,3004,3006,3007,489,2110,2201,1,0,0
3494,120000,2,2,24,0,0,0,0,0,-1,11296,12200,11761,6761,7189,1087,1400,1000,0,1000,1087,801,0,1,0
3525,60000,2,1,39,0,0,0,0,0,0,54282,49541,46074,39917,39382,39799,2128,1608,1391,1410,1580,1548,1,0,0
3546,90000,2,1,39,0,0,0,0,0,0,20612,21956,23280,23812,24377,24821,1676,2000,1220,1100,1000,1100,1,0,0
3550,50000,2,1,28,0,0,-1,-1,-1,-1,20914,29303,2515,7885,14493,2113,10087,2522,7951,14493,2120,3027,1,0,0
3565,80000,2,1,46,-1,-1,-1,0,-1,-1,2350,2350,4700,2350,2350,2350,2350,4700,0,2350,2350,350,0,1,0
3571,180000,1,2,35,0,0,0,0,0,0,66376,67033,68862,71970,69843,67219,5000,4000,5000,3000,2700,3000,0,1,0
3596,210000,3,2,66,0,0,0,0,0,0,209396,136809,139411,138991,140886,143721,6510,6450,5103,5500,5307,5011,1,0,0
3597,80000,2,2,27,2,0,0,0,0,0,76896,78663,78692,56032,57248,58515,3613,3100,2000,2100,2200,2041,1,0,1
3607,470000,1,1,57,0,0,0,0,0,0,83852,85008,83882,66207,65549,60805,3477,4100,2022,2100,2156,1740,1,0,0
3636,270000,2,1,30,0,0,0,0,0,0,62599,59368,57856,49804,47310,42812,5000,5000,5000,5000,5240,5000,0,1,0
3666,100000,2,1,28,0,0,0,0,0,0,36428,48850,20904,13955,14573,16084,6000,5000,1000,4000,5000,8000,0,1,0
3681,30000,1,2,36,0,0,0,0,0,0,9934,10305,1394,1594,566,0,1000,1000,200,0,0,0,1,0,0
3710,50000,2,2,29,0,0,0,0,-2,-2,47411,19817,15688,0,0,0,1300,1210,0,0,0,0,0,1,1
3713,60000,2,1,36,1,-2,-2,-2,-1,2,0,0,0,0,982,832,0,0,0,982,0,1500,0,1,0
3757,40000,1,2,26,0,0,0,0,0,0,18338,20033,21687,22327,22816,23436,2000,2000,1000,1000,1000,1500,1,0,0
3781,140000,1,1,39,-2,-2,-2,-2,-2,-2,4654,5525,5088,4480,2338,4250,5525,5088,4480,2338,4733,22566,0,1,0
3789,30000,5,2,23,-2,-1,-1,-1,0,0,2700,899,-1581,28419,29016,30908,899,0,30000,1055,2376,0,1,0,0
3797,20000,2,2,32,0,0,0,0,0,0,129106,127610,107828,102937,98525,77711,4420,3650,3120,3200,2900,2000,0,1,0
