ID,LIMIT_BAL,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX_MALE,default_payment_next_month
924,20000,1,2,24,-1,-1,2,-1,0,-1,1371,796,398,796,398,716,796,0,796,0,716,12111,0,0
943,330000,1,1,37,-1,-1,-1,-1,0,-1,4785,3403,0,5882,5882,1013,3523,0,5882,0,1013,0,0,0
958,200000,1,1,34,-1,0,0,-1,0,-1,6206,6723,7545,362,181,488,1120,1024,362,0,488,300,0,1
989,360000,2,2,25,2,2,2,2,2,2,286732,290690,284059,294308,297916,279503,10792,0,15000,5800,0,126685,0,0
1008,170000,2,1,37,0,0,0,0,0,0,166246,169163,136604,136607,133199,135242,6700,6800,4700,4700,5500,5000,0,0
1106,380000,1,1,40,-1,-1,-2,-2,-2,-2,6614,54457,47872,24543,0,0,49094,0,24543,0,0,0,0,0
1107,200000,1,1,41,-2,-2,-2,-2,-2,-2,7812,0,0,1115,0,0,0,0,1115,0,0,0,0,0
1113,90000,2,1,24,0,0,0,0,0,0,84148,79847,75576,75266,74431,68399,5006,4007,5006,4003,3014,4007,0,0
1120,120000,2,1,34,1,-1,-1,-1,-1,-1,-9,898,7752,4447,8495,0,907,7772,4447,8495,0,528,0,0
1124,200000,2,1,41,0,0,0,0,0,-1,18012,18367,16996,11461,8150,5584,1385,1020,229,183,5584,888,0,0
1189,480000,2,1,38,0,0,0,0,0,0,90258,76099,56776,37484,37906,18387,30000,1708,1292,1010,772,705,0,0
1209,230000,2,1,51,0,0,0,0,0,0,51802,53956,56968,58099,59318,60504,3000,3921,2079,2155,2174,2225,0,1
1213,290000,1,1,30,-1,-1,-1,-1,-1,-1,1312,1312,1311,1486,1488,1650,1318,1317,1493,1495,1657,35267,0,1
1224,150000,2,1,42,-1,-1,-1,-1,-1,-1,3260,2270,5887,3935,3935,3935,2270,5887,3935,3935,3935,3935,0,1
1289,20000,3,1,48,1,2,2,3,2,2,14589,16743,17522,17055,10400,0,2700,1400,0,0,0,0,0,1
1315,50000,1,1,37,2,0,0,0,-1,2,8014,7668,7081,5738,6461,4822,1200,1000,91,11283,0,1000,0,0
1319,390000,1,1,34,1,-2,-1,-1,-2,-2,0,0,1266,0,0,0,0,1266,0,0,0,0,0,0
1328,180000,2,2,25,0,0,0,0,2,2,4745,5765,6631,8386,8109,8820,1257,1123,1878,0,1000,0,0,0
1498,130000,2,1,34,0,0,0,2,0,0,59955,61252,65399,63800,65312,37838,2260,5203,0,2670,1342,1815,0,0
1540,110000,3,2,28,0,0,2,2,0,0,85918,87442,82975,80446,80006,80421,4000,6000,12,3100,3200,3000,0,0
1562,150000,1,2,34,-2,-1,2,0,0,-2,0,13206,10227,398,0,0,13206,0,0,0,0,0,0,0
1564,30000,3,1,56,0,0,2,2,0,0,16088,24800,25098,24396,24907,25555,9000,1000,0,903,1061,942,0,0
1621,30000,1,2,26,-1,-1,-1,-1,-1,2,2635,807,11428,2462,3605,1559,1270,11500,2462,1559,0,3192,0,0
1623,40000,1,2,26,0,0,0,0,0,0,12308,13604,14873,15624,15972,16308,1500,1500,1000,600,600,1700,0,0
1659,190000,2,2,31,-1,-1,-1,-1,-2,-1,771,0,4251,0,0,6732,0,4251,0,0,6732,11306,0,0
1674,220000,1,2,36,-2,-2,-2,-2,-2,-2,0,420,0,584,790,0,420,0,584,790,0,1309,0,0
1728,60000,2,1,42,2,2,0,0,0,0,57598,50821,19638,18919,16853,29682,0,2000,2000,1000,20000,10000,0,1
1838,290000,2,1,40,0,0,0,0,0,0,274558,256910,229566,148812,53157,47998,10700,11014,5800,1820,2000,2000,0,1
1865,420000,2,2,35,-1,-1,-1,-1,-1,-1,7572,18847,16615,14156,9058,3281,18920,16615,14156,9058,3281,5971,0,0
1871,100000,2,1,31,0,0,-1,-1,0,-1,92265,93873,1473,2946,1473,540,5000,1473,2946,0,540,780,0,0
1873,130000,3,2,32,0,0,0,0,0,2,119312,116259,103438,49319,91191,82168,20021,40354,20000,43608,103,10000,0,0
1910,80000,1,2,29,0,0,0,0,0,0,26524,23224,23141,22160,21478,20441,1500,1700,1000,1000,1000,1500,0,0
1997,60000,1,2,24,0,0,0,0,0,0,15050,16203,16891,15474,14612,16354,2000,1300,2000,1000,2000,1000,0,0
2035,50000,1,2,25,-1,-1,-1,-1,-1,-1,574,801,686,527,312,442,801,686,527,312,442,8016,0,0
2053,140000,2,2,42,-1,-1,-1,0,-1,-1,176,395,1204,700,748,-784,395,1204,0,748,0,2688,0,0
2081,70000,1,2,24,0,0,0,0,0,0,69572,71233,66844,50410,44958,46655,2828,2337,1702,1800,2600,2000,0,0
2103,10000,3,1,53,1,4,3,2,2,2,4479,4272,4064,3856,4390,4171,0,0,0,900,0,900,0,1
2130,340000,1,2,26,-1,0,0,0,0,-1,58363,106270,159464,155685,137838,6556,56270,59503,3330,40,6556,16390,0,0
2184,150000,1,1,55,-1,-1,-1,-2,-2,-2,2070,7620,0,0,0,0,7620,0,0,0,0,0,0,0
2221,50000,2,1,32,-1,-1,-1,-2,-2,-2,819,699,0,0,0,0,699,0,0,0,0,0,0,1
2268,230000,2,1,33,0,0,2,-1,0,0,9530,12872,3724,153400,14788,21258,7000,0,153400,8000,10000,6000,0,0
2334,210000,1,1,38,-1,-1,2,2,-1,-1,2360,4707,4465,0,9306,5855,4465,0,0,9306,5855,9840,0,0
2381,110000,2,2,28,0,0,0,0,0,0,81449,83241,84960,86045,88060,93394,4000,4000,3400,3400,7000,3450,0,0
2395,130000,2,2,24,1,-2,-1,-1,-1,-1,-10,-10,3362,-3,998,937,0,3372,0,1001,939,1013,0,0
2423,80000,3,1,39,0,0,0,-2,-1,-1,4948,3804,0,0,1715,0,1000,0,0,1715,0,0,0,0
2466,100000,3,1,29,4,3,2,0,0,-1,175441,153992,132132,114431,116766,95961,0,0,0,2335,102075,0,0,1
2485,80000,2,2,27,1,2,2,0,0,0,81635,83465,81472,82332,84067,78510,3716,0,2989,3105,2973,2830,0,0
2561,310000,1,2,32,-2,-2,-2,-2,-2,-2,20138,8267,65993,8543,1695,750,8267,66008,8543,1695,750,7350,0,1
2581,360000,2,2,31,0,0,-2,-2,-2,-2,17582,0,0,0,0,0,0,0,0,0,0,0,0,0
2601,130000,3,2,36,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2621,50000,2,2,44,0,0,0,0,-1,-1,49006,49139,47608,3990,390,0,2000,1000,3600,390,0,4870,0,0
2635,200000,1,1,42,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,665,0,1
2730,250000,2,2,40,-2,-2,-2,-2,-2,-2,0,1069,-320,-320,1680,4058,1069,320,0,2000,4058,3000,0,0
2737,50000,2,1,28,0,0,0,0,0,0,50998,51103,50262,20304,20319,20330,2209,1726,710,724,733,712,0,0
2812,50000,2,2,24,0,0,0,0,0,0,39083,40150,41181,41996,43021,45700,1700,1700,1501,1700,3400,0,0,1
2822,30000,3,1,60,-1,3,2,0,0,3,5867,5621,4090,2829,2108,1801,0,0,0,1801,0,0,0,1
2847,350000,1,2,31,0,0,0,0,0,2,181550,177978,164481,198545,232543,165288,10000,20000,100048,60000,0,5000,0,0
2886,230000,3,1,37,0,0,0,0,0,0,228342,189966,142377,143828,143698,143342,6100,7000,5356,5400,5200,5500,0,0
2891,150000,2,1,36,0,0,0,0,0,0,296846,301634,314201,84135,90500,0,7143,13700,15000,7500,0,0,0,0
2930,80000,2,2,28,0,-1,-1,0,0,0,18112,8857,69841,59075,58998,61038,10084,79200,2108,2200,3006,2523,0,0
2959,20000,2,1,36,1,-2,-2,-2,-2,-2,-25,-25,-25,-25,-25,-25,0,0,0,0,0,0,0,0
2979,120000,1,2,31,-1,-1,-1,-1,-1,-1,325,325,325,325,325,1866,325,325,325,325,1866,325,0,0
2983,170000,1,2,30,-2,-2,-2,-2,-2,-2,3733,1958,5956,1836,3959,1285,1958,5956,1842,3959,1285,0,0,0
2984,360000,1,2,37,-1,-1,-1,-1,-1,-1,3355,5865,3300,6290,8220,28410,5865,3300,6290,8220,28410,4845,0,0
3096,360000,1,1,39,-1,-1,-1,-1,-1,-1,165,853,165,300,0,1790,853,165,300,0,1790,0,0,0
3119,60000,2,1,43,0,0,0,0,0,0,57033,58994,59732,36914,37684,38613,2880,2473,1322,1366,1554,1369,0,0
3132,150000,1,2,24,-1,-1,-1,0,0,-1,4857,1729,49200,50000,0,50000,1733,49200,1000,0,50000,0,0,0
3134,210000,2,1,37,0,0,-2,-2,-2,-2,22908,32513,6192,2885,8419,2810,32513,9,8,8444,3118,0,0,1
3156,300000,1,1,38,-1,-1,-1,-2,-2,-2,1008,228,0,0,0,0,228,0,0,888,0,0,0,0
3166,150000,1,2,28,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3245,50000,2,1,26,0,0,0,0,0,0,44335,44626,40928,29367,29156,27337,2126,2104,990,1200,1654,897,0,0
3302,20000,2,2,24,0,0,0,0,0,0,20073,19940,19441,18680,19071,19217,1319,1291,656,679,784,376,0,0
3343,50000,2,2,28,0,0,0,0,0,0,46096,25370,26331,24749,25269,26847,1442,1403,1000,919,2000,1000,0,0
3373,340000,2,2,32,0,0,0,0,0,0,80174,82761,83636,85282,87070,88828,3871,3136,3014,3123,3168,4855,0,0
3384,110000,2,1,36,1,2,0,0,2,2,10448,10144,14516,19396,9298,14116,0,5000,5000,0,5000,0,0,1
3397,210000,1,2,43,1,-1,0,0,0,0,-3309,177952,167125,139784,142662,145725,184212,5482,3493,3590,3815,3876,0,0
3494,120000,2,2,24,0,0,0,0,0,-1,11296,12200,11761,6761,7189,1087,1400,1000,0,1000,1087,801,0,0
3565,80000,2,1,46,-1,-1,-1,0,-1,-1,2350,2350,4700,2350,2350,2350,2350,4700,0,2350,2350,350,0,0
3571,180000,1,2,35,0,0,0,0,0,0,66376,67033,68862,71970,69843,67219,5000,4000,5000,3000,2700,3000,0,0
3636,270000,2,1,30,0,0,0,0,0,0,62599,59368,57856,49804,47310,42812,5000,5000,5000,5000,5240,5000,0,0
3666,100000,2,1,28,0,0,0,0,0,0,36428,48850,20904,13955,14573,16084,6000,5000,1000,4000,5000,8000,0,0
3710,50000,2,2,29,0,0,0,0,-2,-2,47411,19817,15688,0,0,0,1300,1210,0,0,0,0,0,1
3713,60000,2,1,36,1,-2,-2,-2,-1,2,0,0,0,0,982,832,0,0,0,982,0,1500,0,0
3781,140000,1,1,39,-2,-2,-2,-2,-2,-2,4654,5525,5088,4480,2338,4250,5525,5088,4480,2338,4733,22566,0,0
3797,20000,2,2,32,0,0,0,0,0,0,129106,127610,107828,102937,98525,77711,4420,3650,3120,3200,2900,2000,0,0
3865,30000,2,2,23,0,0,0,0,0,0,19594,20619,21631,22062,22707,23312,1346,1358,789,1000,981,1010,0,0
3930,50000,2,1,29,0,0,0,0,0,0,26052,27631,29128,29707,28825,29022,2000,2000,2500,1033,1053,1034,0,0
3994,110000,2,2,23,0,0,0,0,-1,0,1877,2507,1320,1270,63697,51866,1000,1000,100,63697,2427,2050,0,1
4011,140000,3,2,31,0,0,0,0,0,0,92636,94641,96667,98883,79972,81642,3500,3600,3900,3000,3000,3200,0,0
4023,250000,1,1,44,-2,-2,-2,-2,-2,-1,4976,5417,7948,1797,1580,12573,5417,7948,1797,1580,12573,4338,0,0
4164,160000,2,2,29,-1,-1,-1,-1,-1,-2,2248,-2,4903,5525,-10,-10,0,4905,5525,10,0,5685,0,0
4185,350000,2,1,34,1,2,0,0,0,0,23589,22585,23263,23755,23900,25016,0,1700,1500,1000,2000,1500,0,0
4189,310000,2,1,43,1,2,2,2,2,2,266629,270414,264482,280240,285805,272059,9500,0,20000,10000,0,9755,0,1
4292,120000,1,2,30,-1,-1,-1,-1,-1,-1,316,316,316,316,316,7516,316,316,316,316,7516,316,0,0
4320,50000,3,1,45,0,0,0,-2,-1,-1,4410,4055,0,0,6553,19653,4050,0,0,6553,13100,0,0,0
4356,150000,3,2,52,0,0,-1,-1,-1,-1,5678,3608,694,-6,2266,1601,1010,696,0,2272,1605,3027,0,0
4368,50000,2,1,25,0,0,0,0,0,0,49772,50261,50630,30192,30297,28541,2082,1726,1013,1061,1135,886,0,0
4372,70000,1,2,29,0,0,0,0,0,0,66648,66638,57404,33045,30137,21832,3000,5137,968,2500,6000,5000,0,0
4382,20000,2,1,41,-1,-1,-1,-1,-1,-1,2468,1077,1140,0,7014,7696,1087,1140,0,7014,800,0,0,0
4422,260000,1,2,29,-2,-2,-2,-2,-1,-1,1476,1476,1476,1476,20976,1476,1476,1476,1476,20976,1476,1476,0,0
4519,470000,2,2,40,0,0,0,0,0,0,277185,282983,290274,294508,300646,306652,10257,11982,10536,10879,10971,11326,0,0
4537,270000,2,1,33,-1,-1,-1,-1,-1,-1,2323,5430,1152,56891,4866,9334,5434,1152,56891,4866,9533,1993,0,0
4577,90000,1,2,29,1,-1,-1,-2,-2,-2,0,194,0,0,0,0,194,0,0,0,0,217,0,0
4625,240000,2,1,37,0,-1,-1,0,-1,-1,1854,1346,3195,1932,7363,1546,1346,3195,0,7383,1546,4390,0,0
4678,360000,1,1,35,-1,-1,-2,-2,-2,-2,10621,0,0,0,150,137,0,0,0,150,137,0,0,0
4681,220000,1,2,29,0,0,0,0,0,0,224852,224416,173565,176156,175745,160362,10235,8000,7000,7000,7000,7000,0,0
4683,500000,1,2,47,-2,-2,-2,-2,-2,-2,0,3270,30760,143791,-200,-200,3270,30760,143791,0,0,0,0,0
4724,200000,2,2,31,0,0,0,0,-2,-2,8350,4750,5134,245,56,167,2001,1001,501,201,501,501,0,0
4828,60000,2,2,31,0,0,0,0,0,0,58173,59626,55775,28187,28978,27119,3400,2300,1200,1200,1500,1500,0,0
4851,100000,1,2,30,0,0,0,0,0,0,90375,81572,71451,68530,66844,65820,3007,3200,3000,3500,2600,2500,0,0
4858,50000,3,1,32,1,2,2,2,0,0,45652,44646,47619,46455,47432,48442,0,4000,0,1432,3100,0,0,1
5018,190000,2,1,34,0,0,2,2,2,0,86730,93705,91317,96079,94428,100618,9310,0,7200,0,8000,4000,0,0
5073,130000,1,1,55,0,0,0,0,0,0,126205,128064,131524,46445,44973,45578,4998,5946,1620,1623,1659,1749,0,0
5105,70000,3,2,40,0,0,0,0,0,0,60525,60932,60190,25126,24718,27726,14011,14494,6019,7010,8007,5008,0,0
5107,20000,5,3,35,0,0,0,0,0,0,17962,17858,17972,16592,15369,16247,1336,1211,1500,1300,1500,1000,0,0
5181,340000,1,2,47,0,0,0,0,0,0,326065,339260,332032,280450,282510,281197,20070,12747,9582,20070,18092,20102,0,1
5200,70000,3,2,24,1,2,2,0,0,0,69346,70864,68645,28929,28597,28237,3200,13,1008,1103,1100,850,0,0
5291,180000,2,1,42,0,0,0,2,0,0,102449,104807,111048,107782,110879,113666,5500,9500,0,5000,5000,5000,0,0
5324,180000,2,2,28,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5350,80000,1,2,23,1,2,0,0,2,2,80461,78259,66068,50748,51490,50626,37,2122,3600,1600,18,1800,0,1
5359,230000,2,2,30,0,0,0,0,0,0,74664,63540,66131,58430,72617,66787,3000,10000,10000,20145,11745,686,0,0
5377,50000,2,2,28,0,0,0,0,0,0,19969,27267,19833,24014,27429,29189,8000,3302,5000,6500,10000,20000,0,0
5383,40000,2,1,38,0,0,0,0,0,0,38491,36881,37968,36155,36933,37666,3000,2000,1500,1500,1500,2000,0,0
5401,500000,2,2,49,-1,-1,-1,0,0,-1,27891,8970,385228,391047,0,150,8982,385228,7821,0,150,363,0,0
5427,50000,2,1,49,-1,-1,-1,-1,-1,-1,12515,9115,1198,198,1198,11198,9115,1198,198,1198,11198,29358,0,1
5522,30000,1,2,25,0,0,0,0,0,0,19783,20959,22269,22601,23085,23646,1500,1668,1000,1000,944,762,0,0
5606,340000,1,1,39,0,0,0,0,0,0,250571,251917,256908,260462,265927,271766,9125,11750,9325,9665,10274,9832,0,0
5647,160000,2,2,26,0,0,0,0,-1,-1,8218,4450,3291,1623,905,0,1216,1000,32,905,0,0,0,0
5755,220000,1,2,24,2,0,0,0,0,0,161081,158578,161256,157028,159971,168805,7100,7200,5800,5900,12000,0,0,1
5774,270000,2,2,26,0,0,0,0,0,0,29951,12211,13533,14391,15255,16273,1300,1533,1391,1255,1273,1000,0,0
5840,80000,1,2,25,-2,-2,-2,-2,-2,-2,0,0,988,0,0,0,0,988,0,0,0,0,0,0
5850,280000,3,1,61,0,0,0,0,0,0,162734,146990,149201,152377,155764,148302,7000,6000,5500,5800,5200,6000,0,0
5866,320000,1,2,31,-2,-2,-2,-2,-2,-1,1345,5458,9572,3826,737,3865,5458,9579,3826,737,3865,300,0,0
5930,50000,3,1,54,0,0,0,0,0,0,16648,16200,15622,14277,12930,11657,1588,1483,611,458,403,351,0,0
5961,340000,2,1,52,0,0,0,0,0,0,331508,319742,255166,197695,201907,195961,12100,10000,7000,7000,7000,8000,0,0
5976,50000,2,2,24,0,-1,-1,0,0,-2,14814,9631,36631,29150,0,0,10755,36671,583,0,0,0,0,0
5979,90000,2,1,45,-1,-1,-1,-1,-2,-2,37453,9009,179,0,0,0,24509,179,0,0,0,0,0,0
6002,500000,1,2,37,-1,-1,-1,-1,-1,-1,6364,1625,517,0,1450,2668,1625,517,0,1450,2668,1480,0,0
6037,80000,3,1,39,-1,-1,-1,-1,-2,-1,5280,5000,5000,0,0,5000,5000,5000,0,5000,5000,470,0,0
6059,230000,1,2,48,0,0,0,0,0,0,161083,164757,168214,159106,162436,165878,7800,7684,5600,5755,6000,6300,0,0
6062,150000,2,1,36,2,2,2,2,2,2,137723,141048,142475,143966,146736,149697,7000,5200,5300,5200,5500,5200,0,0
6065,120000,2,2,45,0,0,0,0,0,0,92000,94000,96000,98000,100000,0,2000,2000,2000,2000,0,0,0,0
6155,30000,1,2,34,1,2,2,2,2,2,24022,24744,24053,25624,25977,25413,1396,0,1967,903,0,1100,0,1
6156,30000,1,2,24,-1,-1,-1,-1,2,2,165,165,165,323,158,-1027,165,165,323,0,0,5527,0,1
6182,100000,2,1,35,3,3,2,2,0,0,61089,59556,60486,58296,33247,34118,0,2525,0,1206,1423,3400,0,1
6204,200000,1,2,29,0,0,0,0,0,0,7523,8445,9090,3270,774,0,3000,1000,0,700,0,0,0,0
6254,80000,2,1,37,-1,-1,-1,-1,-1,-1,1480,3832,898,425,0,2791,3832,898,425,0,2791,0,0,0
6280,220000,2,1,36,0,0,0,0,0,0,136556,139453,142295,145127,148159,151462,5100,5163,5196,5372,5761,5396,0,0
6388,250000,1,2,28,0,0,0,0,0,0,273927,211551,132145,88487,66701,52054,21700,11710,6030,9150,11600,48930,0,0
6391,150000,2,2,33,-1,0,0,0,0,0,46006,45425,32139,53639,51873,64675,2000,3000,40009,5000,20000,62339,0,0
6405,200000,2,2,24,0,0,0,0,0,0,39723,40586,44233,45124,46252,47207,1353,4000,1267,1500,1500,1500,0,0
6433,20000,3,1,53,0,0,0,-2,-2,-2,12237,12870,0,0,0,0,1000,0,0,0,0,0,0,0
6514,140000,1,1,41,-1,2,-1,-1,0,-1,780,390,390,780,390,390,0,390,780,0,390,390,0,0
6571,80000,2,1,56,1,-1,-1,-1,-1,-1,-2,697,-3,1186,-4,1633,699,0,1579,0,1637,4844,0,0
6588,280000,6,3,38,0,0,0,-1,-1,-1,286469,293875,296257,232,-94,143864,8024,8034,232,94,145935,5000,0,0
6598,460000,1,2,27,0,0,0,0,0,0,81252,74766,79012,74349,77504,90032,5020,10027,3001,5004,15000,5039,0,0
6617,70000,3,2,52,0,0,0,0,0,0,105991,67243,67533,28653,29253,26185,2777,1751,969,1004,938,1122,0,0
6670,340000,2,2,30,0,0,0,0,-1,-1,47664,38192,39234,20960,360,360,2000,2000,3000,360,360,45385,0,0
6789,50000,1,2,25,-1,-1,2,-1,-1,-2,13572,17983,15590,10610,0,0,5000,200,10610,0,0,0,0,0
6809,160000,2,2,30,0,0,0,0,0,0,124178,118255,111807,107418,90471,86363,4507,4000,3500,3300,3500,3000,0,0
6828,60000,1,2,24,2,2,2,2,2,3,37356,41624,40655,43974,46625,45590,5200,0,4000,3500,0,0,0,1
6880,500000,2,1,40,-1,-1,-1,-1,-1,-2,2231,-9,2312,2928,0,0,0,2321,2928,0,0,0,0,0
6958,120000,2,2,24,2,0,0,0,0,0,67714,51385,35160,13425,8517,6174,2102,1021,274,3001,1004,4005,0,1
6987,60000,1,2,27,-1,-1,-1,-1,-1,2,3136,1286,1047,-239,1475,1289,1286,1047,0,3000,0,0,0,0
6988,60000,2,2,50,0,0,0,0,0,2,59853,24975,26000,26545,30966,30330,1500,1450,965,4864,0,1001,0,0
7016,500000,1,1,45,0,0,0,0,0,0,93669,101892,76452,20965,50466,61566,10147,5331,10000,30000,12000,10000,0,0
7101,150000,2,2,24,0,0,0,0,0,0,108924,109705,108748,108116,108951,109901,4000,5500,4000,4100,4300,4000,0,0
7171,50000,1,2,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7194,150000,2,2,26,0,0,0,0,0,2,10693,13188,19902,23068,26184,25615,3000,7000,3500,3500,0,3500,0,1
7242,60000,1,2,24,0,0,0,0,0,0,48890,43651,34358,34986,35770,36622,2000,1800,1500,1500,1600,1500,0,0
7250,90000,1,2,28,-1,-1,-2,-2,-2,-2,350,0,0,0,0,0,0,0,0,0,0,0,0,1
7264,100000,1,2,33,1,2,0,0,0,0,55066,53612,54720,55808,56976,58108,0,2000,1998,2068,2079,2155,0,0
7288,150000,3,1,34,0,0,-1,-1,-1,-1,19130,10000,8000,0,10000,0,1000,8000,2000,10000,0,0,0,0
7294,100000,2,1,27,-2,-2,-2,-2,-2,-2,390,1780,0,0,0,0,4780,0,0,0,0,0,0,0
7307,80000,2,1,30,0,0,0,0,0,0,64596,64871,61000,48300,47300,3500,4424,1600,0,1500,1500,1500,0,0
7429,130000,1,2,32,0,0,0,0,0,0,126080,129104,130745,127344,127809,119976,7000,8000,5000,4500,4500,5000,0,0
7455,120000,1,2,29,0,0,0,0,0,0,121805,120933,120629,116316,117358,118560,4600,4300,4200,4219,4500,7600,0,0
7458,100000,2,1,34,0,0,0,0,0,0,102724,100186,102604,101856,101105,101071,4600,5000,4000,4000,4200,3800,0,0
7459,80000,2,1,37,1,2,-1,-1,-1,-1,2626,2410,3237,2760,914,0,0,3237,2760,914,0,0,0,0
7494,130000,5,1,32,0,-1,-1,0,0,0,3275,376,17055,14693,14855,14817,376,17055,575,449,1000,339,0,0
7498,150000,1,2,33,-1,0,0,-2,-2,-2,10544,11982,-18,-18,-18,-18,2000,0,0,0,0,0,0,0
7509,10000,3,2,51,0,0,0,0,0,0,53095,54562,5428,7928,6091,0,2134,1000,2500,122,0,0,0,0
7550,280000,1,1,51,-1,-1,-1,-1,-1,-1,11223,15225,4951,2408,8360,6202,15262,4951,2408,8360,6202,200,0,0
